word,frequency
стар,3
квартир,3
сем,3
лет,2
дом,2
вряд,2
говор,2
пятнадца,1
убежа,1
поймет,1
уч,1
спецшкол,1
ког,1
жизнен,1
план,1
дума,1
чем-т,1
пьем,1
ча,1
ждем,1
свет,1
газ,1
телефон,1
горяч,1
вод,1
радиоточк,1
пол,1
паркет,1
санузел,1
раздельн,1
кирпичн,1
одн,1
две,1
подсобн,1
помещен,1
перв,1
последн,1
предлага,1
ряд,1
метр,1
центр,1
в-мест,1
немног,1
знают,1
наш,1
труб,1
идет,1
необычн,1
дым,1
сто,1
опасн,1
зон,1
работ,1
мозг,1
м-м-м,1
бошентума,1
